pdiv,longitude,latitude,county,grid_id,land_surface_elevation_m,hydraulic_conductivity_mday,specific_yield,saturated_thickness_1945_m,average_saturated_thickness_2018_2020_m,bedrock_m,bedrock_depth_m,B,x_meters,y_meters,logB
15202,-100.5707,39.4013,SD,36175,878.1017786889373,83.50605600000002,0.0543,40.82279194335823,16.48864936523326,796.9225381347668,81.0768,0.0019826276666155954,364758.6306279673,4362487.637453398,-6.223332209749035
69953,-100.7157,39.36926,SD,37599,909.055358099256,113.8428,0.0792,38.68868964843902,15.431690625000002,835.2170378906251,73.7616,0.0014490518516535472,352205.4618657089,4359158.92607829,-6.5368458318438485
44021,-100.7161,39.36887,SD,37959,903.35908511946,108.572808,0.0743,37.537876171875,14.16873515625,836.4126858398445,67.056,0.0015207281674434548,352170.1802540673,4359116.29557472,-6.488566001306787
15540,-100.7399,39.30751,TH,40837,908.643949388739,85.20684000000001,0.0759,29.431505859375,12.915062841797289,848.8623445312501,59.7408,0.0019103935041835747,349988.72197276854,4352345.326038891,-6.260446035010688
41747,-100.7083,39.39029,SD,36880,901.7177303652716,110.15472,0.075,44.24250878906373,21.536936572266708,827.1190391601556,74.676,0.0014992976526404568,352887.11923345306,4361480.918623342,-6.502758512101635
15888,-100.7233,39.31128,TH,40478,902.1624216732588,82.4484,0.0698,31.166990625,12.865484472655549,845.16843046875,56.997600000000006,0.0019797644960996377,351428.00794907194,4352736.335923247,-6.224777382713597
16156,-100.6268516,39.3902183,SD,36889,889.9756665564263,76.910184,0.0624,42.67412080078049,18.18251806640555,808.5959651367194,81.3816,0.002127215059916201,359901.4101524262,4361343.368592934,-6.152941638370698
20584,-100.7161,39.38947,SD,36879,905.4411710414926,110.721648,0.0782,41.51847041015549,18.987641015625,832.057416796875,73.4568,0.0014886941796986705,352213.6404465784,4361402.651108574,-6.509855932742515
16394,-100.6921,39.41827,SD,35442,908.786675051162,85.475064,0.0687,41.92164580078324,21.81526376953345,823.1319336914056,85.64880000000001,0.001915033812357441,354340.5223592531,4364560.090820358,-6.258019999921883
31459,-100.6962,39.38765,SD,36881,901.7532254557996,102.354888,0.0706,47.070019921875,23.129825390625,822.6130816406251,79.248,0.0016124283977115906,353923.6832665553,4361168.257219154,-6.430013914800201
31978,-100.6974,39.38136,SD,37241,905.8544980951476,109.831632,0.0686,45.869981542969214,21.81083613281388,823.9958809570306,81.9912,0.0015106522621412515,353807.2067057503,4360472.085380788,-6.495213759740945
16466,-100.679,39.40498,SD,36163,900.5548446919328,71.908416,0.0715,43.07259570312368,20.83192534179621,820.8239195312511,79.8576,0.002250171283418221,355440.8103648343,4363063.984282252,-6.096748939699588
71606,-100.6961,39.38693,SD,36881,901.7532254557996,102.354888,0.0706,47.070019921875,23.129825390625,822.6130816406251,79.248,0.0016124283977115906,353930.7941948689,4361088.183990114,-6.430013914800201
16620,-100.5385,39.43374,SD,34738,861.1583275695411,80.967072,0.0588,37.24434990234452,16.503494970702835,792.8719760742194,68.2752,0.002032732929457806,367592.6690570043,4366040.288452786,-6.198374120669401
54599,-100.6918,39.38239,SD,37242,904.0051874016904,95.289624,0.0656,45.83500693359421,21.62922861328345,821.6780317382807,82.296,0.0017321611729568334,354291.6906311529,4360577.3488455145,-6.358385417191637
17313,-100.5633,39.41984,SD,35095,870.5216045561425,81.24444000000001,0.0614,38.42076181640549,15.59648056640555,798.7189866210945,71.9328,0.00202145646510816,365431.474151224,4364534.27245136,-6.203937005049973
29277,-100.6855,39.38243,SD,37242,904.0051874016904,95.289624,0.0656,45.83500693359421,21.62922861328345,821.6780317382807,82.296,0.0017321611729568334,354834.39949147694,4360571.638241156,-6.358385417191637
17534,-100.5067,39.43355,SD,34741,852.5709694910734,72.45096,0.0647,40.65139775390519,18.945485449216527,784.2168392578141,68.2752,0.0022464346170273956,370329.2323605592,4365972.991783214,-6.098410934250003
23036,-100.6704,39.3896,SD,36884,898.621423399031,68.15328,0.0685,45.48101923828049,20.114046679689025,817.8577253906251,80.772,0.0023727547990781113,356149.7027644245,4361343.246517372,-6.043703636375121
17786,-100.72322,39.31144,TH,40478,902.1624216732588,82.4484,0.0698,31.166990625,12.865484472655549,845.16843046875,56.997600000000006,0.0019797644960996377,351435.2439202201,4352753.962380261,-6.224777382713597
17914,-100.6645,39.37976,SD,37245,897.4819441504726,82.948272,0.0657,45.78364262695244,18.739470117185977,816.0850894042974,81.3816,0.0019749309331214765,356637.6855346184,4360241.741345732,-6.227221851811941
71065,-100.6767,39.38163,SD,37243,903.2186893696094,79.29372,0.0647,45.30183017578049,19.999653662108265,819.9938182617195,83.2104,0.0020626390218282647,355590.7031218647,4360468.733541882,-6.183769037504226
40161,-100.679,39.38684,SD,36883,901.8736068654624,72.26198400000001,0.0691,45.39060615234452,20.978626464844574,819.4502979492195,82.296,0.002243939347543355,355403.3546350307,4361050.661851417,-6.099522320410965
18222,-100.6067,39.38595,SD,36891,886.267797027916,78.528672,0.0705,40.33617978515519,16.412505175780396,806.097252539064,80.1624,0.0020719757406193824,361628.4512468676,4360838.556767814,-6.179252662848721
37880,-100.6506,39.39027,SD,36886,894.7279879796994,80.790288,0.0697,45.62568017578049,19.32447626953055,813.102666796875,81.6864,0.00201832997374129,357856.27803846257,4361386.238426799,-6.205484855184335
18383,-100.6952,39.37986,SD,37241,905.8544980951476,109.831632,0.0686,45.869981542969214,21.81083613281388,823.9958809570306,81.9912,0.0015106522621412515,353993.57197205233,4360302.042970443,-6.495213759740945
18519,-100.6364,39.39174,SD,36528,890.7795280216409,67.568064,0.061,44.382704882814025,19.898078466797287,809.240428125,81.6864,0.0024073515138659436,359082.1544581024,4361527.122853426,-6.029228092677578
42532,-100.6363,39.38305,SD,37248,894.8405006870861,85.194648,0.0664,45.32668447265519,18.480378955077683,809.4606193359391,85.34400000000001,0.0019245301593140234,359073.2829820567,4360562.486335903,-6.253073414116696
